dateday,season,year,month,holiday,weekday,workingday,weather_situation,casual,registered,count
2011-04-11,Summer,0,Apr,0,Mon,1,Misty/Cloudy,855,2493,3348
2011-04-12,Summer,0,Apr,0,Tue,1,Misty/Cloudy,257,1777,2034
2011-04-13,Summer,0,Apr,0,Wed,1,Misty/Cloudy,209,1953,2162
2011-04-14,Summer,0,Apr,0,Thu,1,Clear/Partly Cloudy,529,2738,3267
2011-04-15,Summer,0,Apr,1,Fri,0,Clear/Partly Cloudy,642,2484,3126
2011-04-16,Summer,0,Apr,0,Sat,0,Light Snow/Rain,121,674,795
2011-04-17,Summer,0,Apr,0,Sun,0,Clear/Partly Cloudy,1558,2186,3744
2011-04-18,Summer,0,Apr,0,Mon,1,Clear/Partly Cloudy,669,2760,3429
2011-04-19,Summer,0,Apr,0,Tue,1,Misty/Cloudy,409,2795,3204
2011-04-20,Summer,0,Apr,0,Wed,1,Clear/Partly Cloudy,613,3331,3944
2011-04-21,Summer,0,Apr,0,Thu,1,Clear/Partly Cloudy,745,3444,4189
2011-04-22,Summer,0,Apr,0,Fri,1,Misty/Cloudy,177,1506,1683
2011-04-23,Summer,0,Apr,0,Sat,0,Misty/Cloudy,1462,2574,4036
2011-04-24,Summer,0,Apr,0,Sun,0,Misty/Cloudy,1710,2481,4191
2011-04-25,Summer,0,Apr,0,Mon,1,Clear/Partly Cloudy,773,3300,4073
2011-04-26,Summer,0,Apr,0,Tue,1,Clear/Partly Cloudy,678,3722,4400
2011-04-27,Summer,0,Apr,0,Wed,1,Misty/Cloudy,547,3325,3872
2011-04-28,Summer,0,Apr,0,Thu,1,Misty/Cloudy,569,3489,4058
2011-04-29,Summer,0,Apr,0,Fri,1,Clear/Partly Cloudy,878,3717,4595
2011-04-30,Summer,0,Apr,0,Sat,0,Clear/Partly Cloudy,1965,3347,5312
2011-05-01,Summer,0,May,0,Sun,0,Misty/Cloudy,1138,2213,3351
2011-05-02,Summer,0,May,0,Mon,1,Misty/Cloudy,847,3554,4401
2011-05-03,Summer,0,May,0,Tue,1,Misty/Cloudy,603,3848,4451
2011-05-04,Summer,0,May,0,Wed,1,Misty/Cloudy,255,2378,2633
2011-05-05,Summer,0,May,0,Thu,1,Clear/Partly Cloudy,614,3819,4433
2011-05-06,Summer,0,May,0,Fri,1,Clear/Partly Cloudy,894,3714,4608
2011-05-07,Summer,0,May,0,Sat,0,Clear/Partly Cloudy,1612,3102,4714
2011-05-08,Summer,0,May,0,Sun,0,Clear/Partly Cloudy,1401,2932,4333
2011-05-09,Summer,0,May,0,Mon,1,Clear/Partly Cloudy,664,3698,4362
2011-05-10,Summer,0,May,0,Tue,1,Clear/Partly Cloudy,694,4109,4803
2011-05-11,Summer,0,May,0,Wed,1,Clear/Partly Cloudy,550,3632,4182
2011-05-12,Summer,0,May,0,Thu,1,Clear/Partly Cloudy,695,4169,4864
2011-05-13,Summer,0,May,0,Fri,1,Misty/Cloudy,692,3413,4105
2011-05-14,Summer,0,May,0,Sat,0,Misty/Cloudy,902,2507,3409
2011-05-15,Summer,0,May,0,Sun,0,Misty/Cloudy,1582,2971,4553
2011-05-16,Summer,0,May,0,Mon,1,Clear/Partly Cloudy,773,3185,3958
2011-05-17,Summer,0,May,0,Tue,1,Misty/Cloudy,678,3445,4123
2011-05-18,Summer,0,May,0,Wed,1,Misty/Cloudy,536,3319,3855
2011-05-19,Summer,0,May,0,Thu,1,Misty/Cloudy,735,3840,4575
2011-05-20,Summer,0,May,0,Fri,1,Clear/Partly Cloudy,909,4008,4917
2011-05-21,Summer,0,May,0,Sat,0,Clear/Partly Cloudy,2258,3547,5805
2011-05-22,Summer,0,May,0,Sun,0,Clear/Partly Cloudy,1576,3084,4660
2011-05-23,Summer,0,May,0,Mon,1,Misty/Cloudy,836,3438,4274
2011-05-24,Summer,0,May,0,Tue,1,Misty/Cloudy,659,3833,4492
2011-05-25,Summer,0,May,0,Wed,1,Clear/Partly Cloudy,740,4238,4978
2011-05-26,Summer,0,May,0,Thu,1,Clear/Partly Cloudy,758,3919,4677
2011-05-27,Summer,0,May,0,Fri,1,Clear/Partly Cloudy,871,3808,4679
2011-05-28,Summer,0,May,0,Sat,0,Clear/Partly Cloudy,2001,2757,4758
2011-05-29,Summer,0,May,0,Sun,0,Clear/Partly Cloudy,2355,2433,4788
2011-05-30,Summer,0,May,1,Mon,0,Clear/Partly Cloudy,1549,2549,4098
2011-05-31,Summer,0,May,0,Tue,1,Clear/Partly Cloudy,673,3309,3982
2011-06-01,Summer,0,Jun,0,Wed,1,Misty/Cloudy,513,3461,3974
2011-06-02,Summer,0,Jun,0,Thu,1,Clear/Partly Cloudy,736,4232,4968
2011-06-03,Summer,0,Jun,0,Fri,1,Clear/Partly Cloudy,898,4414,5312
2011-06-04,Summer,0,Jun,0,Sat,0,Clear/Partly Cloudy,1869,3473,5342
2011-06-05,Summer,0,Jun,0,Sun,0,Misty/Cloudy,1685,3221,4906
2011-06-06,Summer,0,Jun,0,Mon,1,Clear/Partly Cloudy,673,3875,4548
2011-06-07,Summer,0,Jun,0,Tue,1,Clear/Partly Cloudy,763,4070,4833
2011-06-08,Summer,0,Jun,0,Wed,1,Clear/Partly Cloudy,676,3725,4401
2011-06-09,Summer,0,Jun,0,Thu,1,Misty/Cloudy,563,3352,3915
2011-06-10,Summer,0,Jun,0,Fri,1,Clear/Partly Cloudy,815,3771,4586
2011-06-11,Summer,0,Jun,0,Sat,0,Clear/Partly Cloudy,1729,3237,4966
2011-06-12,Summer,0,Jun,0,Sun,0,Clear/Partly Cloudy,1467,2993,4460
2011-06-13,Summer,0,Jun,0,Mon,1,Clear/Partly Cloudy,863,4157,5020
2011-06-14,Summer,0,Jun,0,Tue,1,Clear/Partly Cloudy,727,4164,4891
2011-06-15,Summer,0,Jun,0,Wed,1,Clear/Partly Cloudy,769,4411,5180
2011-06-16,Summer,0,Jun,0,Thu,1,Misty/Cloudy,545,3222,3767
2011-06-17,Summer,0,Jun,0,Fri,1,Clear/Partly Cloudy,863,3981,4844
2011-06-18,Summer,0,Jun,0,Sat,0,Clear/Partly Cloudy,1807,3312,5119
2011-06-19,Summer,0,Jun,0,Sun,0,Misty/Cloudy,1639,3105,4744
2011-06-20,Summer,0,Jun,0,Mon,1,Misty/Cloudy,699,3311,4010
2011-06-21,Fall,0,Jun,0,Tue,1,Misty/Cloudy,774,4061,4835
2011-06-22,Fall,0,Jun,0,Wed,1,Clear/Partly Cloudy,661,3846,4507
2011-06-23,Fall,0,Jun,0,Thu,1,Misty/Cloudy,746,4044,4790
2011-06-24,Fall,0,Jun,0,Fri,1,Clear/Partly Cloudy,969,4022,4991
2011-06-25,Fall,0,Jun,0,Sat,0,Clear/Partly Cloudy,1782,3420,5202
2011-06-26,Fall,0,Jun,0,Sun,0,Clear/Partly Cloudy,1920,3385,5305
2011-06-27,Fall,0,Jun,0,Mon,1,Misty/Cloudy,854,3854,4708
2011-06-28,Fall,0,Jun,0,Tue,1,Clear/Partly Cloudy,732,3916,4648
2011-06-29,Fall,0,Jun,0,Wed,1,Clear/Partly Cloudy,848,4377,5225
2011-06-30,Fall,0,Jun,0,Thu,1,Clear/Partly Cloudy,1027,4488,5515
2011-07-01,Fall,0,Jul,0,Fri,1,Clear/Partly Cloudy,1246,4116,5362
2011-07-02,Fall,0,Jul,0,Sat,0,Clear/Partly Cloudy,2204,2915,5119
2011-07-03,Fall,0,Jul,0,Sun,0,Misty/Cloudy,2282,2367,4649
2011-07-04,Fall,0,Jul,1,Mon,0,Misty/Cloudy,3065,2978,6043
2011-07-05,Fall,0,Jul,0,Tue,1,Clear/Partly Cloudy,1031,3634,4665
2011-07-06,Fall,0,Jul,0,Wed,1,Clear/Partly Cloudy,784,3845,4629
2011-07-07,Fall,0,Jul,0,Thu,1,Clear/Partly Cloudy,754,3838,4592
2011-07-08,Fall,0,Jul,0,Fri,1,Misty/Cloudy,692,3348,4040
2011-07-09,Fall,0,Jul,0,Sat,0,Clear/Partly Cloudy,1988,3348,5336
2011-07-10,Fall,0,Jul,0,Sun,0,Clear/Partly Cloudy,1743,3138,4881
2011-07-11,Fall,0,Jul,0,Mon,1,Clear/Partly Cloudy,723,3363,4086
2011-07-12,Fall,0,Jul,0,Tue,1,Clear/Partly Cloudy,662,3596,4258
2011-07-13,Fall,0,Jul,0,Wed,1,Clear/Partly Cloudy,748,3594,4342
2011-07-14,Fall,0,Jul,0,Thu,1,Clear/Partly Cloudy,888,4196,5084
2011-07-15,Fall,0,Jul,0,Fri,1,Clear/Partly Cloudy,1318,4220,5538
2011-07-16,Fall,0,Jul,0,Sat,0,Clear/Partly Cloudy,2418,3505,5923
2011-07-17,Fall,0,Jul,0,Sun,0,Clear/Partly Cloudy,2006,3296,5302
2011-07-18,Fall,0,Jul,0,Mon,1,Clear/Partly Cloudy,841,3617,4458
2011-07-19,Fall,0,Jul,0,Tue,1,Clear/Partly Cloudy,752,3789,4541
2011-07-20,Fall,0,Jul,0,Wed,1,Clear/Partly Cloudy,644,3688,4332
2011-07-21,Fall,0,Jul,0,Thu,1,Misty/Cloudy,632,3152,3784
2011-07-22,Fall,0,Jul,0,Fri,1,Clear/Partly Cloudy,562,2825,3387
2011-07-23,Fall,0,Jul,0,Sat,0,Clear/Partly Cloudy,987,2298,3285
2011-07-24,Fall,0,Jul,0,Sun,0,Clear/Partly Cloudy,1050,2556,3606
2011-07-25,Fall,0,Jul,0,Mon,1,Clear/Partly Cloudy,568,3272,3840
2011-07-26,Fall,0,Jul,0,Tue,1,Clear/Partly Cloudy,750,3840,4590
2011-07-27,Fall,0,Jul,0,Wed,1,Clear/Partly Cloudy,755,3901,4656
2011-07-28,Fall,0,Jul,0,Thu,1,Clear/Partly Cloudy,606,3784,4390
2011-07-29,Fall,0,Jul,0,Fri,1,Clear/Partly Cloudy,670,3176,3846
2011-07-30,Fall,0,Jul,0,Sat,0,Clear/Partly Cloudy,1559,2916,4475
2011-07-31,Fall,0,Jul,0,Sun,0,Clear/Partly Cloudy,1524,2778,4302
2011-08-01,Fall,0,Aug,0,Mon,1,Clear/Partly Cloudy,729,3537,4266
2011-08-02,Fall,0,Aug,0,Tue,1,Clear/Partly Cloudy,801,4044,4845
2011-08-03,Fall,0,Aug,0,Wed,1,Misty/Cloudy,467,3107,3574
2011-08-04,Fall,0,Aug,0,Thu,1,Misty/Cloudy,799,3777,4576
2011-08-05,Fall,0,Aug,0,Fri,1,Clear/Partly Cloudy,1023,3843,4866
2011-08-06,Fall,0,Aug,0,Sat,0,Misty/Cloudy,1521,2773,4294
2011-08-07,Fall,0,Aug,0,Sun,0,Clear/Partly Cloudy,1298,2487,3785
2011-08-08,Fall,0,Aug,0,Mon,1,Clear/Partly Cloudy,846,3480,4326
2011-08-09,Fall,0,Aug,0,Tue,1,Clear/Partly Cloudy,907,3695,4602
2011-08-10,Fall,0,Aug,0,Wed,1,Clear/Partly Cloudy,884,3896,4780
2011-08-11,Fall,0,Aug,0,Thu,1,Clear/Partly Cloudy,812,3980,4792
2011-08-12,Fall,0,Aug,0,Fri,1,Clear/Partly Cloudy,1051,3854,4905
2011-08-13,Fall,0,Aug,0,Sat,0,Misty/Cloudy,1504,2646,4150
2011-08-14,Fall,0,Aug,0,Sun,0,Misty/Cloudy,1338,2482,3820
2011-08-15,Fall,0,Aug,0,Mon,1,Clear/Partly Cloudy,775,3563,4338
2011-08-16,Fall,0,Aug,0,Tue,1,Clear/Partly Cloudy,721,4004,4725
2011-08-17,Fall,0,Aug,0,Wed,1,Clear/Partly Cloudy,668,4026,4694
2011-08-18,Fall,0,Aug,0,Thu,1,Clear/Partly Cloudy,639,3166,3805
2011-08-19,Fall,0,Aug,0,Fri,1,Misty/Cloudy,797,3356,4153
2011-08-20,Fall,0,Aug,0,Sat,0,Clear/Partly Cloudy,1914,3277,5191
2011-08-21,Fall,0,Aug,0,Sun,0,Clear/Partly Cloudy,1249,2624,3873
2011-08-22,Fall,0,Aug,0,Mon,1,Clear/Partly Cloudy,833,3925,4758
2011-08-23,Fall,0,Aug,0,Tue,1,Clear/Partly Cloudy,1281,4614,5895
2011-08-24,Fall,0,Aug,0,Wed,1,Clear/Partly Cloudy,949,4181,5130
2011-08-25,Fall,0,Aug,0,Thu,1,Misty/Cloudy,435,3107,3542
2011-08-26,Fall,0,Aug,0,Fri,1,Clear/Partly Cloudy,768,3893,4661
2011-08-27,Fall,0,Aug,0,Sat,0,Misty/Cloudy,226,889,1115
2011-08-28,Fall,0,Aug,0,Sun,0,Clear/Partly Cloudy,1415,2919,4334
2011-08-29,Fall,0,Aug,0,Mon,1,Clear/Partly Cloudy,729,3905,4634
2011-08-30,Fall,0,Aug,0,Tue,1,Clear/Partly Cloudy,775,4429,5204
2011-08-31,Fall,0,Aug,0,Wed,1,Clear/Partly Cloudy,688,4370,5058
2011-09-01,Fall,0,Sep,0,Thu,1,Clear/Partly Cloudy,783,4332,5115
2011-09-02,Fall,0,Sep,0,Fri,1,Misty/Cloudy,875,3852,4727
2011-09-03,Fall,0,Sep,0,Sat,0,Clear/Partly Cloudy,1935,2549,4484
2011-09-04,Fall,0,Sep,0,Sun,0,Clear/Partly Cloudy,2521,2419,4940
2011-09-05,Fall,0,Sep,1,Mon,0,Misty/Cloudy,1236,2115,3351
2011-09-06,Fall,0,Sep,0,Tue,1,Light Snow/Rain,204,2506,2710
2011-09-07,Fall,0,Sep,0,Wed,1,Light Snow/Rain,118,1878,1996
2011-09-08,Fall,0,Sep,0,Thu,1,Light Snow/Rain,153,1689,1842
2011-09-09,Fall,0,Sep,0,Fri,1,Misty/Cloudy,417,3127,3544
2011-09-10,Fall,0,Sep,0,Sat,0,Clear/Partly Cloudy,1750,3595,5345
2011-09-11,Fall,0,Sep,0,Sun,0,Clear/Partly Cloudy,1633,3413,5046
2011-09-12,Fall,0,Sep,0,Mon,1,Clear/Partly Cloudy,690,4023,4713
2011-09-13,Fall,0,Sep,0,Tue,1,Clear/Partly Cloudy,701,4062,4763
2011-09-14,Fall,0,Sep,0,Wed,1,Clear/Partly Cloudy,647,4138,4785
2011-09-15,Fall,0,Sep,0,Thu,1,Misty/Cloudy,428,3231,3659
2011-09-16,Fall,0,Sep,0,Fri,1,Misty/Cloudy,742,4018,4760
2011-09-17,Fall,0,Sep,0,Sat,0,Misty/Cloudy,1434,3077,4511
2011-09-18,Fall,0,Sep,0,Sun,0,Clear/Partly Cloudy,1353,2921,4274
2011-09-19,Fall,0,Sep,0,Mon,1,Misty/Cloudy,691,3848,4539
2011-09-20,Fall,0,Sep,0,Tue,1,Misty/Cloudy,438,3203,3641
2011-09-21,Fall,0,Sep,0,Wed,1,Misty/Cloudy,539,3813,4352
2011-09-22,Fall,0,Sep,0,Thu,1,Misty/Cloudy,555,4240,4795
2011-09-23,Winter,0,Sep,0,Fri,1,Misty/Cloudy,258,2137,2395
2011-09-24,Winter,0,Sep,0,Sat,0,Misty/Cloudy,1776,3647,5423
2011-09-25,Winter,0,Sep,0,Sun,0,Misty/Cloudy,1544,3466,5010
2011-09-26,Winter,0,Sep,0,Mon,1,Misty/Cloudy,684,3946,4630
2011-09-27,Winter,0,Sep,0,Tue,1,Misty/Cloudy,477,3643,4120
2011-09-28,Winter,0,Sep,0,Wed,1,Misty/Cloudy,480,3427,3907
2011-09-29,Winter,0,Sep,0,Thu,1,Clear/Partly Cloudy,653,4186,4839
2011-09-30,Winter,0,Sep,0,Fri,1,Clear/Partly Cloudy,830,4372,5202
2011-10-01,Winter,0,Oct,0,Sat,0,Misty/Cloudy,480,1949,2429
2011-10-02,Winter,0,Oct,0,Sun,0,Misty/Cloudy,616,2302,2918
2011-10-03,Winter,0,Oct,0,Mon,1,Misty/Cloudy,330,3240,3570
2011-10-04,Winter,0,Oct,0,Tue,1,Clear/Partly Cloudy,486,3970,4456
2011-10-05,Winter,0,Oct,0,Wed,1,Clear/Partly Cloudy,559,4267,4826
2011-10-06,Winter,0,Oct,0,Thu,1,Clear/Partly Cloudy,639,4126,4765
2011-10-07,Winter,0,Oct,0,Fri,1,Clear/Partly Cloudy,949,4036,4985
2011-10-08,Winter,0,Oct,0,Sat,0,Clear/Partly Cloudy,2235,3174,5409
2011-10-09,Winter,0,Oct,0,Sun,0,Clear/Partly Cloudy,2397,3114,5511
2011-10-10,Winter,0,Oct,1,Mon,0,Clear/Partly Cloudy,1514,3603,5117
2011-10-11,Winter,0,Oct,0,Tue,1,Misty/Cloudy,667,3896,4563
2011-10-12,Winter,0,Oct,0,Wed,1,Light Snow/Rain,217,2199,2416
2011-10-13,Winter,0,Oct,0,Thu,1,Misty/Cloudy,290,2623,2913
2011-10-14,Winter,0,Oct,0,Fri,1,Misty/Cloudy,529,3115,3644
2011-10-15,Winter,0,Oct,0,Sat,0,Clear/Partly Cloudy,1899,3318,5217
2011-10-16,Winter,0,Oct,0,Sun,0,Clear/Partly Cloudy,1748,3293,5041
2011-10-17,Winter,0,Oct,0,Mon,1,Clear/Partly Cloudy,713,3857,4570
2011-10-18,Winter,0,Oct,0,Tue,1,Misty/Cloudy,637,4111,4748
2011-10-19,Winter,0,Oct,0,Wed,1,Light Snow/Rain,254,2170,2424
2011-10-20,Winter,0,Oct,0,Thu,1,Clear/Partly Cloudy,471,3724,4195
2011-10-21,Winter,0,Oct,0,Fri,1,Clear/Partly Cloudy,676,3628,4304
2011-10-22,Winter,0,Oct,0,Sat,0,Clear/Partly Cloudy,1499,2809,4308
2011-10-23,Winter,0,Oct,0,Sun,0,Clear/Partly Cloudy,1619,2762,4381
2011-10-24,Winter,0,Oct,0,Mon,1,Clear/Partly Cloudy,699,3488,4187
2011-10-25,Winter,0,Oct,0,Tue,1,Clear/Partly Cloudy,695,3992,4687
2011-10-26,Winter,0,Oct,0,Wed,1,Misty/Cloudy,404,3490,3894
2011-10-27,Winter,0,Oct,0,Thu,1,Misty/Cloudy,240,2419,2659
2011-10-28,Winter,0,Oct,0,Fri,1,Misty/Cloudy,456,3291,3747
2011-10-29,Winter,0,Oct,0,Sat,0,Light Snow/Rain,57,570,627
2011-10-30,Winter,0,Oct,0,Sun,0,Clear/Partly Cloudy,885,2446,3331
2011-10-31,Winter,0,Oct,0,Mon,1,Clear/Partly Cloudy,362,3307,3669
2011-11-01,Winter,0,Nov,0,Tue,1,Clear/Partly Cloudy,410,3658,4068
2011-11-02,Winter,0,Nov,0,Wed,1,Clear/Partly Cloudy,370,3816,4186
2011-11-03,Winter,0,Nov,0,Thu,1,Clear/Partly Cloudy,318,3656,3974
2011-11-04,Winter,0,Nov,0,Fri,1,Misty/Cloudy,470,3576,4046
2011-11-05,Winter,0,Nov,0,Sat,0,Clear/Partly Cloudy,1156,2770,3926
2011-11-06,Winter,0,Nov,0,Sun,0,Clear/Partly Cloudy,952,2697,3649
2011-11-07,Winter,0,Nov,0,Mon,1,Clear/Partly Cloudy,373,3662,4035
